Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,6442.927536984599,0.8901098901098901,1,0
2,6408.897690191133,0.8901098901098901,1,0
3,6798.1857576014045,1.0,1,0
4,7185.640334121452,1.0,1,0
5,7187.454802917751,1.0,1,0
6,7188.752584946839,1.0,1,0
7,7189.7274262234,1.0,1,0
8,7190.486671303198,1.0,1,0
9,7191.094782398763,1.0,1,0
10,7191.592827306711,1.0,1,0
11,7192.000414680688,1.0,1,0
12,7192.333453611384,1.0,1,0
13,7192.61870634216,1.0,1,0
14,7192.865868968277,1.0,1,0
15,7193.082085277013,1.0,1,0
16,7193.272816621446,1.0,1,0
17,7193.4423113244275,1.0,1,0
18,7193.593922689197,1.0,1,0
19,7193.730332830247,1.0,1,0
20,7193.853713585375,1.0,1,0
21,7193.965841453378,1.0,1,0
22,7194.068183706762,1.0,1,0
23,7194.161963904663,1.0,1,0
24,7194.2482092754435,1.0,1,0
25,7194.3277889246265,1.0,1,0
26,7194.401443430448,1.0,1,0
27,7194.469807575779,1.0,1,0
28,7194.533428470453,1.0,1,0
29,7194.592780543703,1.0,1,0
30,7194.648276873068,1.0,1,0
31,7194.700278460754,1.0,1,0
32,7194.749103384309,1.0,1,0
33,7194.795031788911,1.0,1,0
34,7194.838311789673,1.0,1,0
35,7194.879164336486,1.0,1,0
36,7194.917785910346,1.0,1,0
37,7194.954352773558,1.0,1,0
38,7194.9890229421,1.0,1,0
39,7195.021938530992,1.0,1,0
40,7195.053228293574,1.0,1,0
41,7195.083007853905,1.0,1,0
42,7195.111383070252,1.0,1,0
43,7195.138449380504,1.0,1,0
44,7195.164294096051,1.0,1,0
45,7195.188996653831,1.0,1,0
46,7195.212630487071,1.0,1,0
47,7195.2352619947405,1.0,1,0
48,7195.256952592621,1.0,1,0
49,7195.2777589791685,1.0,1,0
50,7195.297732891625,1.0,1,0
