Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7223.872645009477,1.0,1,0
2,7241.693179872608,1.0,1,0
3,7228.648167950184,1.0,1,0
4,7216.0683537242285,1.0,1,0
5,7206.513837592147,1.0,1,0
6,7196.641063301055,1.0,1,0
7,7190.57064506156,1.0,1,0
8,7184.5405164324275,1.0,1,0
9,7178.133941242087,1.0,1,0
10,7171.7614347269855,1.0,1,0
11,7167.996496097277,1.0,1,0
12,7162.897721823826,1.0,1,0
13,7159.786479374853,1.0,1,0
14,7155.256735427722,1.0,1,0
15,7156.508795091807,1.0,1,0
16,7151.798139279579,1.0,1,0
17,7148.407101589318,1.0,1,0
18,7146.088512000027,1.0,1,0
19,7151.48944404042,1.0,1,0
20,7150.1534178717675,1.0,1,0
21,7144.901973030351,1.0,1,0
22,7147.395087590099,1.0,1,0
23,7148.894715330278,1.0,1,0
24,7146.412136383375,1.0,1,0
25,7144.938110018674,1.0,1,0
26,7145.409607837511,1.0,1,0
27,7144.016155129018,1.0,1,0
28,7146.30679423518,1.0,1,0
29,7146.500922106599,1.0,1,0
30,7121.141602455705,1.0,1,0
31,7078.286945423586,1.0,1,0
32,7017.068529023017,1.0,1,0
33,6910.368456293022,1.0,1,0
34,6809.4566004733715,1.0,1,0
35,6890.593473509077,1.0,1,0
36,6924.2680955396,1.0,1,0
37,6860.312871005207,1.0,1,0
38,6740.213669587576,1.0,1,0
39,6713.26378087586,1.0,1,0
40,6707.830319003149,1.0,1,0
41,6718.563825565934,1.0,1,0
42,6710.682827464002,1.0,1,0
43,6708.179712309917,1.0,1,0
44,6699.67294422776,1.0,1,0
45,6704.519348248155,1.0,1,0
46,6689.310796868873,1.0,1,0
47,6690.817503423686,1.0,1,0
48,6701.031244324026,1.0,1,0
49,6440.773627277696,0.8901098901098901,1,0
50,6706.487439977425,1.0,1,0
