Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7142.800813834038,1.0,1,0
2,7192.112097477641,1.0,1,0
3,7193.811993201389,1.0,1,0
4,7194.579850543558,1.0,1,0
5,7194.980360607179,1.0,1,0
6,7195.225476292808,1.0,1,0
7,7195.397129344419,1.0,1,0
8,7195.52407614792,1.0,1,0
9,7195.621782041875,1.0,1,0
10,7195.699311336541,1.0,1,0
11,7195.762199972905,1.0,1,0
12,7195.800440160708,1.0,1,0
13,7195.816921440107,1.0,1,0
14,7195.81740090882,1.0,1,0
15,7195.81740090882,1.0,1,0
16,7195.81740090882,1.0,1,0
17,7195.81740090882,1.0,1,0
18,7195.81740090882,1.0,1,0
19,7195.81740090882,1.0,1,0
20,7195.81740090882,1.0,1,0
21,7195.81740090882,1.0,1,0
22,7195.81740090882,1.0,1,0
23,7195.81740090882,1.0,1,0
24,7195.81740090882,1.0,1,0
25,7195.81740090882,1.0,1,0
26,7195.81740090882,1.0,1,0
27,7195.81740090882,1.0,1,0
28,7195.81740090882,1.0,1,0
29,7195.81740090882,1.0,1,0
30,7195.81740090882,1.0,1,0
31,7195.81740090882,1.0,1,0
32,7195.81740090882,1.0,1,0
33,7195.81740090882,1.0,1,0
34,7195.81740090882,1.0,1,0
35,7195.81740090882,1.0,1,0
36,7195.81740090882,1.0,1,0
37,7195.81740090882,1.0,1,0
38,7195.81740090882,1.0,1,0
39,7195.81740090882,1.0,1,0
40,7195.81740090882,1.0,1,0
41,7195.81740090882,1.0,1,0
42,7195.81740090882,1.0,1,0
43,7195.81740090882,1.0,1,0
44,7195.81740090882,1.0,1,0
45,7195.81740090882,1.0,1,0
46,7195.81740090882,1.0,1,0
47,7195.81740090882,1.0,1,0
48,7195.81740090882,1.0,1,0
49,7195.81740090882,1.0,1,0
50,7195.81740090882,1.0,1,0
