Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,7016.278856288092,1.0,1,0
2,7180.751551412328,1.0,1,0
3,7176.3051159131,1.0,1,0
4,7171.250766788618,1.0,1,0
5,7170.705853740347,1.0,1,0
6,7170.608526667435,1.0,1,0
7,7164.973565515983,1.0,1,0
8,7086.499679232596,0.8901098901098901,1,0
9,6451.93242592751,1.0,1,0
10,6665.2031787280375,1.0,1,0
11,6675.0523625561245,1.0,1,0
12,6086.227938944891,1.0,1,0
13,6538.698955989395,1.0,1,0
14,6730.2724104542085,1.0,1,0
15,7007.5568215536005,0.7916666666666667,1,0
16,6669.297843653626,0.8901098901098901,1,0
17,6756.192340999066,1.0,1,0
18,6995.901193288234,0.8901098901098901,1,0
19,6404.433712155499,1.0,1,0
20,6801.511857260918,1.0,1,0
21,7097.024122372412,1.0,1,0
22,7082.281540256243,1.0,1,0
23,6445.371540060555,1.0,1,0
24,6431.8703318746175,1.0,1,0
25,6883.006995796093,1.0,1,0
26,7003.702215972485,1.0,1,0
27,6598.4759073358355,1.0,1,0
28,6990.247827685532,0.8901098901098901,1,0
29,7088.149538565481,1.0,1,0
30,6586.397160834135,0.8901098901098901,1,0
31,6324.966478084049,0.8901098901098901,1,0
32,6777.533060653081,1.0,1,0
33,6934.745901632982,1.0,1,0
34,7097.082290610633,1.0,1,0
35,6992.691555941756,1.0,1,0
36,6453.527420726196,0.6,1,0
37,6700.8674879552855,0.8901098901098901,1,0
38,6541.365007622487,1.0,1,0
39,6629.351656197633,0.696969696969697,1,0
40,6865.208152380224,0.8901098901098901,1,0
41,6941.85280547946,1.0,1,0
42,6470.3824089794425,1.0,1,0
43,6598.806723766127,1.0,1,0
44,6910.489883978635,1.0,1,0
45,7043.215278873873,1.0,1,0
46,6990.671660370869,1.0,1,0
47,7097.719287696348,1.0,1,0
48,7092.322359801994,1.0,1,0
49,7094.442076338715,1.0,1,0
50,7005.324461519228,1.0,1,0
