Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,2855.9428839710704,0.5636363636363637,1,0
2,2691.7594648187724,0.43529411764705883,1,0
3,2904.9016809448044,0.43529411764705883,1,0
4,3327.6590059971304,0.5465587044534412,1,0
5,4788.863960639272,0.8333333333333333,1,0
6,5831.522091857307,0.9085714285714286,1,0
7,6244.508845225776,0.9085714285714286,1,0
8,6391.413621719804,0.9085714285714286,1,0
9,7197.2066364005295,1.0,1,0
10,7201.494381102792,1.0,1,0
11,7206.733009377838,1.0,1,0
12,7211.680247746762,1.0,1,0
13,7214.974186750093,1.0,1,0
14,7218.28917325994,1.0,1,0
15,7221.394739082146,1.0,1,0
16,7224.480422297486,1.0,1,0
17,7227.651754987059,1.0,1,0
18,7230.082711398113,1.0,1,0
19,7232.550189256549,1.0,1,0
20,7234.101379017226,1.0,1,0
21,7235.970061070521,1.0,1,0
22,7236.765709445239,1.0,1,0
23,7237.8754389218775,1.0,1,0
24,7239.582175808997,1.0,1,0
25,7240.592809473812,1.0,1,0
26,7241.130178370217,1.0,1,0
27,7242.185901597125,1.0,1,0
28,7241.644639517398,1.0,1,0
29,7241.484482714784,1.0,1,0
30,7242.06937282868,1.0,1,0
31,7242.906228254527,1.0,1,0
32,7245.16828202575,1.0,1,0
33,7245.011981623874,1.0,1,0
34,7244.627163930503,1.0,1,0
35,7244.9137755033635,1.0,1,0
36,7245.235952078088,1.0,1,0
37,7246.06726488631,1.0,1,0
38,7246.271898805034,1.0,1,0
39,7246.916547661211,1.0,1,0
40,7246.407442021742,1.0,1,0
41,7247.364672440157,1.0,1,0
42,7248.186186104182,1.0,1,0
43,7248.364401624384,1.0,1,0
44,7248.542541481653,1.0,1,0
45,7248.597102431694,1.0,1,0
46,7248.816537362824,1.0,1,0
47,7248.523998363366,1.0,1,0
48,7250.411458772732,1.0,1,0
49,7251.706229522215,1.0,1,0
50,7252.755112984617,1.0,1,0
