Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,3495.333196735661,0.7257142857142858,1,0
2,3897.6021303183124,0.6666666666666667,1,0
3,3618.9341718100413,0.5151515151515151,1,0
4,3171.818134632256,0.5151515151515151,1,0
5,3166.7669505670483,0.5151515151515151,1,0
6,3166.616576167998,0.5151515151515151,1,0
7,3166.9068309421846,0.5151515151515151,1,0
8,3167.1790701996397,0.5151515151515151,1,0
9,3167.090602741154,0.5151515151515151,1,0
10,3167.4006305612606,0.5151515151515151,1,0
11,3167.686417582248,0.5151515151515151,1,0
12,3167.690553488361,0.5151515151515151,1,0
13,3168.423068526448,0.5151515151515151,1,0
14,3168.8676435241427,0.5151515151515151,1,0
15,3168.600342326615,0.5151515151515151,1,0
16,3168.6627740569647,0.5151515151515151,1,0
17,3168.7431357259175,0.5151515151515151,1,0
18,3169.028142561013,0.5151515151515151,1,0
19,3169.301737678507,0.5151515151515151,1,0
20,3169.6733165851288,0.5151515151515151,1,0
21,3169.6574164423823,0.5151515151515151,1,0
22,3100.461701869551,0.5607843137254902,1,0
23,3268.720980717824,0.36507936507936506,1,0
24,2682.355951119659,0.5,1,0
25,2721.887451926187,0.36507936507936506,1,0
26,1772.3483352300955,0.15789473684210525,1,0
27,532.8696934501281,0.1111111111111111,1,0
28,301.34481336883465,0.1111111111111111,1,0
29,625.4045663464296,0.15789473684210525,1,0
30,579.2869890073259,0.1111111111111111,1,0
31,621.1663532732559,0.1111111111111111,1,0
32,550.7228076156821,0.15789473684210525,1,0
33,571.6455543258952,0.1111111111111111,1,0
34,887.2098110071449,0.15789473684210525,1,0
35,887.623029983832,0.15789473684210525,1,0
36,793.4236502790118,0.15789473684210525,1,0
37,839.9982829627347,0.1111111111111111,1,0
38,368.18339165170204,0.1111111111111111,1,0
39,263.9553862356722,0.1111111111111111,1,0
40,721.2149451873543,0.15789473684210525,1,0
41,695.5172579619277,0.1111111111111111,1,0
42,497.54657696156045,0.15789473684210525,1,0
43,885.7707729243343,0.15789473684210525,1,0
44,835.7614640990766,0.1111111111111111,1,0
45,805.287361647215,0.15789473684210525,1,0
46,630.337579987965,0.15789473684210525,1,0
47,820.573515433389,0.15789473684210525,1,0
48,365.9816825723467,0.1111111111111111,1,0
49,471.21138916763744,0.15789473684210525,1,0
50,559.9107673215187,0.1111111111111111,1,0
