Episode,Cumulative Reward,F1 Score,Blockchain Length,Throughput
1,2535.2990245075875,0.6444444444444444,1,0
2,4624.435690122979,0.6444444444444444,1,0
3,5675.3474118981185,0.9085714285714286,1,0
4,6428.706331824891,1.0,1,0
5,6495.361204993353,1.0,1,0
6,7048.082859107578,0.9085714285714286,1,0
7,6299.400781582481,0.9085714285714286,1,0
8,6678.737182210864,1.0,1,0
9,7246.196029889445,1.0,1,0
10,7249.109834823562,1.0,1,0
11,7249.584708061124,1.0,1,0
12,7250.459578196386,1.0,1,0
13,7250.921758303219,1.0,1,0
14,7250.804237080674,1.0,1,0
15,7251.817096467634,1.0,1,0
16,7251.685257221821,1.0,1,0
17,7251.489948860747,1.0,1,0
18,7252.240699477827,1.0,1,0
19,7251.508132035111,1.0,1,0
20,7252.875541558819,1.0,1,0
21,7254.266794493815,1.0,1,0
22,7255.244706481458,1.0,1,0
23,7256.5522901387085,1.0,1,0
24,7256.783874199778,1.0,1,0
25,7257.753331573725,1.0,1,0
26,7256.4006456589295,1.0,1,0
27,7255.066141298517,1.0,1,0
28,7255.775404858151,1.0,1,0
29,7256.277890875433,1.0,1,0
30,7255.4118780516865,1.0,1,0
31,7254.794211047843,1.0,1,0
32,7255.229584436374,1.0,1,0
33,7255.609548231404,1.0,1,0
34,7255.070693313799,1.0,1,0
35,7254.839046375039,1.0,1,0
36,7253.871098286375,1.0,1,0
37,7253.051447448433,1.0,1,0
38,7254.028872062919,1.0,1,0
39,7253.5744781292515,1.0,1,0
40,7254.029842524707,1.0,1,0
41,7255.326938556598,1.0,1,0
42,7255.6584306034465,1.0,1,0
43,7254.918660748112,1.0,1,0
44,7255.822844026631,1.0,1,0
45,7256.1253222791465,1.0,1,0
46,7255.762400097022,1.0,1,0
47,7256.498930203787,1.0,1,0
48,7257.608701848896,1.0,1,0
49,7258.206176577763,1.0,1,0
50,7259.263782448732,1.0,1,0
